"typography_heading-xs__jSwUz","link_internal__7XN06 href","typography_heading-xxs__QKBS8","typography_body-m__xgxZ_","typography_body-m__xgxZ_ 2","star-rating_starRating__4rrcf src","typography_body-m__xgxZ_ 3","link_internal__7XN06 href 2","typography_heading-s__f7029","typography_body-l__KUYFJ","typography_body-m__xgxZ_ 4","typography_body-m__xgxZ_ 5","typography_body-m__xgxZ_ 6","typography_body-m__xgxZ_ 7","typography_body-m__xgxZ_ 8"
"","https://fr.trustpilot.com/users/5cbda391f8a67d9dda23a566","Nicole Pietras","4 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","22 avr. 2019","https://fr.trustpilot.com/reviews/5cbda39ea843690a7cc81910","Zéro pointer !","Zéro pointer !! Meubles fabriquer par des marchands de tissus!!! Des défauts,pas de finitions!!  Je déconseille fortementSurtout après que mon me propose un bon d.achat à la redoute.....de 50e.","22 avril 2019","Date de l'expérience:","Utile","Partager","1"
"CL","https://fr.trustpilot.com/users/5c9b1d1c1254d8b0d6eae6d5","Client","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","21 avr. 2019","https://fr.trustpilot.com/reviews/5cbc993fa8436908c40cef29","J'ai commandé un aspirateur Dort Devil","J'ai commandé un aspirateur Dort Devil, après 7 mois, le tuyau de la brosse casse, outre un numéro payant, on me demande 29,95 € pour une expertise... C'est honteux, du vol. Je veux juste une autre brosse, tout est fait pour faire renoncer les clients. À éviter absolument, achetez ailleurs!","21 avril 2019","Date de l'expérience:","Utile","Partager","1"
"FA","https://fr.trustpilot.com/users/5cbb6805438df9a88ee2f0a6","Fada","5 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","20 avr. 2019","https://fr.trustpilot.com/reviews/5cbb6cd1a843690a7cc7aab8","Minable","0,5/10 pour La Redoute sur ce site à ce jour. Une belle note méritée. Minable. Canapé commandé le 25 novembre 2018. Livraison sous 4 à 6 semaines (10 janvier maxi). Aucune info dans le laps de temps. Fin janvier, toujours rien et le service client tunisien n’a pas plus d infos que nous. 1er courrier recommandé pour annuler. Nous respectons les 10 jours de délai pour le 2ieme et soudain, le montant est débité de notre compte. Le jour de l envoi du deuxième recommandé définitif, le livreur nous contacte. Trop tard, le canapé, on voulait s’y asseoir avant l’été. Minable.","20 avril 2019","Date de l'expérience:","Utile","Partager","1"
"GW","https://fr.trustpilot.com/users/5cb9d97b710f0307a2e40d0c","Guillaume Watiss","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","19 avr. 2019","https://fr.trustpilot.com/reviews/5cb9d984a843690a7cc73d12","A fuir escrocs","Dommage que le minimum soit une etoileOula à fuir première et dernière commande chez ces escrocsJe commande un lit pour ma fille 2 mois avant qu'elle arrive Déjà 1 mois de retard dc 3 mois au totalAprès je vais pour récupérer mon colis chez le commerçant carton éclaté alors le lit a l'intérieur en mille morceaux J'appel le service client il me dise que je peux pas laisser mon colis chez le commerçant que je dois le ramener chez moi et attendre un livreur pour le récupérer Le service client nul aucuns geste commercial aucunes excuse Et j'ai chez moi un colis en mille morceaux j'ai demandé un réponsable biensur pas dispo et j'attends toujours qu'il me rappel. J'ai demandé service qualité biensur yen a pas chez eux bizarrement Merci la redoute pour l'arrivée de mon bébé topFranchement plus jamais","19 avril 2019","Date de l'expérience:","Utile","Partager","1"
"NS","https://fr.trustpilot.com/users/5cb9c9bd710f032980e3fd64","Nadia Snn","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Actualisé le 19 avr. 2019","https://fr.trustpilot.com/reviews/5cb9c9c5a8436908c40c4501","Site internet à fuir de toute urgence","Site internet à fuir de toute urgence. J’ai fait un retour de commande pour un article qui ne me convenait pas. Cela fait pratiquement 2 mois que j’attends mon remboursement, malgré le fait d’avoir appelé 3 fois le service client. Ils me baladent à chaque appel en me disant « le service financier vous rappèlera dans une semaine ». J’ai pourtant l’habitude de commander sur d’autres sites internet et de faire des retours, avec des remboursements effectués rapidement et sans aucun problème. Je n’ai jamais vu un service client aussi misérable et d’une telle arnaque. Fuyez si vous ne voulez pas perdre votre argent inutilement. La Redoute, comptez sur moi pour vous faire la publicité que vous méritez.","19 avril 2019","Date de l'expérience:","Utile","Partager",""
"MS","https://fr.trustpilot.com/users/575bb5b70000ff000a282aa8","Madame sonnier","16 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","19 avr. 2019","https://fr.trustpilot.com/reviews/5cb9a365a8436908c40c3674","acheté un pantalon et un blouson de…","acheté un pantalon et un blouson de sport trop petits renvoyés dans le même paquet: seul le pantalon a été remboursé , au prétexte que le blouson vient de usine 23 et que je doit l'envoyer à cette adresse . (il est à la redoute ) mes interlocutrices au téléphone , gentilles mais dépassées ...légalement , c'est la redoute qui a reçu et encaissé ma commande, donc responsable . je ne sais ,la redoute non plus, où se trouve le blouson ! Courage fuyons !!","19 avril 2019","Date de l'expérience:","Utile","Partager","1"
"BU","https://fr.trustpilot.com/users/5cb8a6132d7a95efbc08fdf1","Buisine","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","18 avr. 2019","https://fr.trustpilot.com/reviews/5cb8a615a84369064475bbe3","Service client horrible","Service client horrible. Entreprise à fuir. Ma commande n'a visiblement jamais été enregistrée alors que j'avais bien ma date de livraison et mon suivi de commande. J'ai eu au téléphone des personnes détestables ne faisant même pas mine de rien de s'intéresser à mon problème. Et ceux ci ont refusé de m'envoyer un mail pour confirmer l'annulation. Je me retrouve donc avec une commande en cours sur le site. Aucun moyen de savoir si elle est vraiment annulée. La personne me dirige vers Twitter pour avoir cette réponse !! Vraiment comique !! Au final j'ai bloqué une journée pour rien car je n'ai pas été averti de la situation.","18 avril 2019","Date de l'expérience:","Utile","Partager","1"
"AL","https://fr.trustpilot.com/users/5cb858bb5f287a49aca158bd","Alexandre","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","18 avr. 2019","https://fr.trustpilot.com/reviews/5cb858bda8436908bce5574f","Des incompétents","Incapable en 2 mois de livrer les blocs correspondants sur un canapé avec méridienne (méridienne à gauche + canapé pour méridienne à droite). Incapable de gérer le transporteur pour récupérer la livraison sur des créneaux arrangeants pour le client, 4 semaines de délai pour un remboursement, un SAV sans aucune considération client : voilà ce que c’est La Redoute ! Fuyez cette marque ! C’est une honte !Mon N° Client La Redoute : 624560167","18 avril 2019","Date de l'expérience:","Utile","Partager","1"
"","https://fr.trustpilot.com/users/5cb820d85f287a4f16a117c5","Mathilde Et Lionel","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","18 avr. 2019","https://fr.trustpilot.com/reviews/5cb820e3a843690a7cc69822","honteux","Bonjour je voudrais faire part de mon mécontentement. Début avril j’ai passé une commande qui n’a jamais été livrée en relais colis ( date prévu le 11/04). Ma commande de 91,50€ est toujours chez le transporteur ( depuis le 9/04). Après plusieurs appels au service réclamation on m’indique que je dois attendre le retour de mes articles pour être remboursé.Il ne s’agit pas d’une indécision de ma part mais d’un problème de livraison entre la redoute et le transporteur et c’est la cliente qui est pénalisée. Tant que ma commande n’est pas retourné dans les entrepôts de la redoute je ne serai pas remboursé de mes 91,50€.","18 avril 2019","Date de l'expérience:","Utile","Partager","1"
"EV","https://fr.trustpilot.com/users/5cb72c8e854e7a28737bfabd","Evin","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","17 avr. 2019","https://fr.trustpilot.com/reviews/5cb72c90a84369099010c947","SCANDALEUX FUIR ABSOLUMENT","SCANDALEUX FUIR ABSOLUMENTBonjour,Je voudrais vous alerter sur l'achat de meuble chez la redoute.N'y allé jamais, c'est un vrai scandal, pour l'histoire :j'ai attendu 6 semaines pour que mon canapé soit expédié (ca pourquoi pas) 1 : j'ai appelé le service de livraison pour expliquer qu'il fallait passer la canapé par la fenêtre car ca ne passerait jamais par la porte. 2 : ils sont venu, ils ont forcé le passage par la porte, ce n'est pas passé et j'ai vu faire une reclamation pour la peinture et le mur abimé gravement (700 euros de devis)3 : je n'ai toujours pas été recontacter 2 semaines plus tard4: ils me reporopose un rdv de livraison mais personne ne se présente le jour j5 : j'appelle la redoute ils me disent qu'ils ne peuvent rien faire que je dois voir avec relais colis 6 : relais colis me propose un troisième rdv je demande à décalé le rdv car je ne suis pas disponible. ils viennent quand meme à la mauvaise date et comme il n'y avait personne ils renvoient le colis a la redoute7 j'appelle immédiatement la redoute et ils me disent dès qu'on recoit votre canapé on vous rembourseSCANDALEUX : j'attends 2mois mon colis la redoute se décharge sur relais colis alors que c'est eux que je paie. ils ne trouvent aucunes solutions, à part ""je comprends"" la conseillère ne veut meme pas prendre ma reclamation, elle ne veut pas appeler relais colis pour leur dire de ne pas renvoyer le colis a la redoute, Resultats : . 2 mois d'attente à m'assoir par terre. 1600 euros de canapé . 700 euros de peinture et flexion de mon mur . 2 demi journée posé au travail. des heures a appeler les uns et les autres. une fatigue mentale inquantifiable. pas de solution proposé par la redouteIl faut fuir absolument ne faite pas le meme erreur que moi, je vais essayer d'envoyer ce message a tout les réseaux afin d'alerter les clients. Evin","17 avril 2019","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/5cb5b4493358d12befd7ebbe","Françoise Mbogol","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","16 avr. 2019","https://fr.trustpilot.com/reviews/5cb5b464a843690a7cc59a61","Très mauvais ils sont très malhonnête","","16 avril 2019","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/5cb5b258710f03700fe0417f","Agathe Pantz","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","16 avr. 2019","https://fr.trustpilot.com/reviews/5cb5b2eca843690a7cc5998a","A éviter / Incompétents","J'attend depuis 3 mois de pouvoir retourner un article. Les retours gratuits sont en fait payants et il faut en plus les retourner en ESPAGNE !!! Aucune solution n'a été apportée depuis c'est inadmissible et désespérant de voir autant d'incompétence, le Service Client n'est capable que de s'excuser...@ La Redoute : Comment choisissez vous les vendeurs de votre marketplace ?? J'ai fait confiance au site la Redoute sans vérifier les avis clients du vendeur en question je le regrette mais vous, comment ne pas vérifier la fiabilité de vos vendeurs ??? Il suffit de chercher sur Google en tapant le nom du vendeur :""Tradeiin""","16 avril 2019","Date de l'expérience:","Utile","Partager",""
"LO","https://fr.trustpilot.com/users/5859401b0000ff000a63c075","louise2013","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","13 avr. 2019","https://fr.trustpilot.com/reviews/5cb11f3ba843690a7cc4315e","la qualité est très mauvaise en coton, tous les saleté collent sur les drap et housse de couette!","j'ai acheté 200 euros de housse de couette et drap de lit par la redoute, gamme scenario. jamais j'ai vu un produit de aussi mauvaise qualité. tous les saleté colle sur les drap et housse, cheveux, poil, les fibres de vêtement, impossible! je ne peux pas m'en servir, et j'ai demandé un remboursement, mais jamais de réponse!","12 avril 2019","Date de l'expérience:","Utile","Partager",""
"GU","https://fr.trustpilot.com/users/58785d630000ff000a6bcaaf","guillot","5 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","12 avr. 2019","https://fr.trustpilot.com/reviews/5cb03841a843690a7cc3c11b","Sav La Redoute Inacceptable","Acheté un sommier chez La Redoute en août 2018 ( commande 20182130712242 ), le sommier c'est cassé en 2 en mars, depuis j'attends la prise en charge sous garantie de leur part;on me dit tous les jours que l'on va me rappeler...personne ne le fait, j'ai appelé 4 jours de suite, envoyé 5 mails avec tous les éléments demandés (il demande même une photo de la vue d'ensemble du sommier alors que celui ci est en photo dans le catalogue !), La Redoute temporise à régler ce sav pour je ne sais quelle raison"", et bien sûr, impossible d'avoir un responsable,...En résumé, si vous voulez commander des articles ""sensibles""style ameublement, réfléchissez bien avant de commander chez eux, en tous les cas, personnellement La Redoute n'est pas près d'avoir une commande de ma part .","12 avril 2019","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/5c82933ab197a4080be1dc04","SAVAPA","9 avis","BE","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","12 avr. 2019","https://fr.trustpilot.com/reviews/5cafb7d9a8436908c408b86f","J'attends des chaises- longues","J'attends des chaises- longues qui n'arrivent pas. Le delai est repoussé de jour en jour.J'ai joint le Service Client de la Redoute qui, avec beaucoup de professionnalisme affirme qu'ils ne sont pas responsables du retard et de voir directement avec leur fournisseur Market- place !Je demande si la Redoute à bien encaissé mon chèque... Le service client me répond "" oui"".Conclusion : pourquoi passer par la Redoute puisqu'ils ne font rien ? Ils ne servent QUE de boite aux lettres et encaissent les chèques !!!Avec des réponses pareilles, aussi peu professionnelles, je ne m'étonne pas que cette société ait été rachetée par les Galeries Lafayette  !!!C'est honteux, un manque de professionnalisme pareil !!!","11 avril 2019","Date de l'expérience:","Utile","Partager",""
"MA","https://fr.trustpilot.com/users/5caf4a2eff50d8ec2bd6593e","Maury","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","11 avr. 2019","https://fr.trustpilot.com/reviews/5caf4a30a8436909180f51d8","La Redoute ne connaît pas les produits qu'elle vend","La Redoute vend sur son site des déco pour contremarches d'escalier (chères mais jolies) en indiquant à un endroit que la hauteur est de 13cm et à un autre qu'elle est de15cm. je téléphone pour savoir le bon chiffre. Après un long moment de recherche, on me répond ""Ah, c'est un fournisseur qu'on héberge sur le site, on ne sait rien sur le produit, contactez-les"". Quel professionnalisme !  D'autant que le fournisseur lui non plus ne savait rien, il fallait remonter à la marque (à laquelle j'ai acheté finalement le produit et pour moins cher)","11 avril 2019","Date de l'expérience:","Utile","Partager",""
"MU","https://fr.trustpilot.com/users/5bdc77464de5666d342b165e","Mukadi","4 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","9 avr. 2019","https://fr.trustpilot.com/reviews/5caccf00a843690a301aef6b","Lamentable","J'attends la livraison d'un bahut, celle-ci devait avoir lieu le 30 mars et à ce jour toujours rien. J'ai eu différents interlocuteurs de chez la redoute afin de savoir quand est ce que cette foutue livraison aurait lieu, aucun n'a été capable de me le dire. On me demande de patienter... Lors de mon dernier appel je leur ai préciser que si au plus tard je n'étais pas livrée le 10 avril, j'annulerai ma commande. Mais apparemment ils s'en foutent. Je suis cliente chez eux depuis longtemps, j'ai jamais eu de souci. Si mon meuble n'est pas livré et je doute qu'il le soi un jour, je me promets de ne plus jamais rien commander chez eux. Après tout même les articles de sites chinois arrivent à mon port et pour la redoute c'est compliqué. Bref je suis vraiment très déçue, j'avais commandé en toute confiance","09 avril 2019","Date de l'expérience:","Utile","Partager","1"
"CH","https://fr.trustpilot.com/users/5cacbad9969cb0671eeb1c26","camus hervé","6 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","9 avr. 2019","https://fr.trustpilot.com/reviews/5cacbadba843690b08dd8312","Au moins ce qui rassure c'est que je ne…","Au moins ce qui rassure c'est que je ne suis pas le seul une vraie catastropheconseil : evitez LA REDOUTE ( c'est triste car je suis du Nord)passez par AMAZONEHERVE","09 avril 2019","Date de l'expérience:","Utile","Partager",""
"PR","https://fr.trustpilot.com/users/5cab2d3d5692b529a05d498c","Patrice Rossi","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","8 avr. 2019","https://fr.trustpilot.com/reviews/5cab2d7fa843690a301a22c8","NUL NUL NUL","NUL! Même note pour leur partenaire Jardideco. Article pas en stock et toujours pas livré malgré leurs assurances. Site à éviter!","08 avril 2019","Date de l'expérience:","Utile","Partager",""
"ME","https://fr.trustpilot.com/users/5ca8c81566da2c551c4c9008","millet elise","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","6 avr. 2019","https://fr.trustpilot.com/reviews/5ca8c820a843690a301984d6","Dans l'attente urgent d'un retour et d'…","Dans l'attente urgent d'un retour et d' un remboursemment j'ai commandée un lit sur ce site on ma livré sans m'aider a porter les colis, puis après 1 journée à 3 à monter le lit avec les trous non fait d'avance je me suis rendu compte que le matelas tombais car il ni avait rien qui soutenait le matelas au milieu comparé à la photo d'achat.C'est une grosse arnaque j'espère qu'ils viendront me le rechercher très vite car pourtant mon matelas est très haut.Eviter d'aller sur le site.PS déposée mon ancien lit donc plus de lit!!!","06 avril 2019","Date de l'expérience:","Utile","Partager",""
"SA","https://fr.trustpilot.com/users/56f2eb610000ff000a11466b","sarah","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Actualisé le 6 avr. 2019","https://fr.trustpilot.com/reviews/5ca88f58a843690a3019716b","La redoute ne respecte pas la loi, ni ses engagements","La redoute ne respecte ni la loi, ni ses engagements.Elle assure par écrit aux clients de leur droit de rétractation pour la formule "" la redoute et moi"", ce que j'ai fait dans les délais. Le seul et unique moyen NON PAYANT après une longue recherche de contacter le service client est un message sur le site, pas par mail .  AUCUNE réponse, la redoute me doit 15 euros. Réclamation via le site PayPal, puis réclamation officielle m'ont permis d'obtenir gain de cause; Mais que de temps perdus et d' énergie!!Une réclamation chez paypal a finit par me faire obtenir gain de cause. Mais que de temps perdu !","06 avril 2019","Date de l'expérience:","Utile","Partager",""
"GB","https://fr.trustpilot.com/users/5ca7793266da2c5d244b739e","Guillaume Batisse","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","5 avr. 2019","https://fr.trustpilot.com/reviews/5ca7793ca843690a3019222e","Une catastrophe ,un achat qui dure dure…","Une catastrophe ,un achat qui dure dure mes toujours rien en attente mes il refuse l annulation de la commande car en attente de facturation un gag","05 avril 2019","Date de l'expérience:","Utile","Partager",""
"LI","https://fr.trustpilot.com/users/5ca7757e66d61a11ae88e129","Lianos","7 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","5 avr. 2019","https://fr.trustpilot.com/reviews/5ca77580a843690afc76eb0f","une expérience achat désastreuse !","A fuir ! -  manque de sérieux et de professionnalismeNous avons commandé un canapé convertible loméo il y a maintenant 4 mois, on ne nous donne aucune explication sur ce retard de livraison malgré des appels quasi quotidiens de notre part. La réponse la plus récurrente est ""je ne sais pas"" comment vous dire que pour un canapé à 1300€ (remarquez qu'importe le prix) ce type de réponse n'est franchement pas gage de qualité de l'enseigne. Nous espérons maintenant être remboursés dans les plus bref délais avant de devoir porter plainte avec un organisme de protection des consommateurs.","05 avril 2019","Date de l'expérience:","Utile","Partager",""
"LE","https://fr.trustpilot.com/users/5ca4fc9f66d61a733985f469","LEVAILLANT ELISABETH","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","3 avr. 2019","https://fr.trustpilot.com/reviews/5ca4fcb4a843690a30181af7","Honteux!!!!","Honteux! Après deux mois d attente et un mois de retard sur la date indiquée, le service client m informe que le canapé est tout simplement ""perdu"" et qu' ils ne pourront satisfaire la commande.Incroyable! Sachant qu' un mois auparavant un des luminaires avait également été ""perdu"".De plus, refus de me rembourser l option ""la redoute et moi "" malgrė ces dysfonctionnements enormissimes!!!","03 avril 2019","Date de l'expérience:","Utile","Partager","1"
"SE","https://fr.trustpilot.com/users/5ca43bfa776e6d24f0f70bec","serge","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","3 avr. 2019","https://fr.trustpilot.com/reviews/5ca43bfca843690b9cd28621","La première et la DERNIERE fois!","La première et la DERNIERE fois!Le délai de livraison annoncé - 1 mois! J'ai mail regardé car je pensais le 12 février or que c'était le 12 mars. Une fois réalisé cette erreur il fallait être patient car le retard - 15 jours! En tout plus de 6 semaines pour une cafétière qui est moins chère dans les boutiques de la ville! Entre-temps ma boîte mail a été empestée de leurs promos bidon quotidiennes!Bref plus jamais!","03 avril 2019","Date de l'expérience:","Utile","Partager","1"
"","https://fr.trustpilot.com/users/5ca39735dd1cfcedc0248d48","Ramona Broyon","5 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","2 avr. 2019","https://fr.trustpilot.com/reviews/5ca39742a843690a54044820","Nul, nul, nul","J’ai passé une commande de plusieurs articles le 1 février. Un des articles est un canapé La Redoute Intérieurs. Le canapé devait être livré le 18 février. À ce jour il n’ai toujours pas livré et la seule réponse que leur service client est que l’article est en réapprovisionnement et je serai informée par mail quand il sera expédié. Il est inadmissible qu’ils ne soient pas capables de me donner une date de livraison. Par contre, les frais de livraison les ont déjà encaissé sans que cela apparaissent sur la facture.Déplorable","02 avril 2019","Date de l'expérience:","Utile","Partager","1"
"AL","https://fr.trustpilot.com/users/5ca378f2776e6d75f2f65169","AL","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","2 avr. 2019","https://fr.trustpilot.com/reviews/5ca378f5a84369094c1b7ef9","Vendeur Panda&Cie grosse arnaque aidé par Laredoute","Bonjour,j'ai acheté un sac fin Nov18 chez le vendeur Panda&Cie (ou Oh my bag) via la redoute market place. J'ai renvoyé le sac en parfait état mi décembre. Le vendeur refuse de me rembourser prétendant que le sac est endommagé ... je vous passe les détails .. après avoir réclamé a maintes reprises des photos du sac et avoir remonté le pb a la redoute, j'ai finalement recu 1 photo 2 mois après, ne montrant en aucun cas un sac abiméLa redoute m'a confirmé qu'elle avait demandé au vendeur de me rembourser mais que celui ci avait refusé car le sac était cassé (l'histoire et les détails ne sont plus les mêmes). depuis le début le vendeur a menti en prétendant qu'il m'avait informé fin dec du probleme. Faux car je n'ai jamais rien reçu et ca, la redoute le sait très bien puisque nous avons tjs utilisé la messagerie la redoute pour communiquer, ils ont donc tout l'historiquele vendeur est donc un escroc dont la redoute est complice, puisqu'il cautionne sans rien fairesurtout n'achetez rien chez PANDA&CIe / Oh my bag car ce sont des voleurs et des menteurs (et je continuerais a le dire et a l'écrire tant que je n'aurais pas été remboursée, car je suis de bonne foi)","02 avril 2019","Date de l'expérience:","Utile","Partager","1"
"PG","https://fr.trustpilot.com/users/5ca354d9a8a547b18ca3b1c9","Pascal Green","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","2 avr. 2019","https://fr.trustpilot.com/reviews/5ca354fca843690a3017471d","Service client déplorable lorsque vous…","Service client déplorable lorsque vous passez par du marketplace J'attends un remboursement depuis 2 mois pour une commande que je n'ai jamais reçu","02 avril 2019","Date de l'expérience:","Utile","Partager","1"
"VB","https://fr.trustpilot.com/users/5ca322ef33134ec5ea3e0ffc","vbdp","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","2 avr. 2019","https://fr.trustpilot.com/reviews/5ca322f1a8436901c0cf62d5","A fuir !","A fuir !Très mauvaise expérience avec leur service après-vente suite à unBZ reçu endommagé. Nous avons attendu plus d'1 mois afin qu'une solution soit apportée malgré de nombreuses relances de notre part. Lors de l'échange de l'article défectueux la personne du SAV s'est trompée de référence pour la housse, aucune solution proposée, on nous a baladé d'un conseiller à un autre...La seule solution est d'attendre la livraison de l'article pour le refuser et réaliser de nouvelles formalités pour l'échanger...C'est inadmissible !!! Incompétence complète du SAV.Avec un peu de chance nous aurons notre BZ en juin pour une commande effectuée en janvier !!!","02 avril 2019","Date de l'expérience:","Utile","Partager","1"
"EE","https://fr.trustpilot.com/users/5ca3182526d5d9f3c6c1bcc9","Elise Edenromy","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","2 avr. 2019","https://fr.trustpilot.com/reviews/5ca31857a843690a5403f1c6","RAVIE","Plusieurs commandes passées chez La Redoute sans AUCUN PROBLEME !! Canapé ODNA, table basse, tapis, vêtements... Génial.Ne pas confondre quand il s'agit de produits de la marque et des partenaires, car les produits n’appartiennent pas tous à LA REDOUTE !De très beaux produits et de qualité merci La Redoute ! Une enseigne familiale française qui fait plaisir à voir perdurer, plutôt que de voir des sites chinois fleurir de partout..","02 avril 2019","Date de l'expérience:","Utile","Partager",""
"MA","https://fr.trustpilot.com/users/5ca1fb2126d5d90e6dc05a22","mattei","4 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","1 avr. 2019","https://fr.trustpilot.com/reviews/5ca1fb24a8436904a4787f17","site a fuir!!!!!!!!","site a fuir!!!!!!!!! jai acheter une cafetière le broyeur été coince  a 500 euros cela a durer 4  mois ILS ONT PAS VOULU ME PRENDRE LA GARANTIE finalement j'ai refusez le devis de 72 euros en plus surprise de la facture totale enfin aujourd'hui j'ai retrouvez ma cafetière des escrocs et pas du tout commercial et imconpetantallez acheter ailleurs","01 avril 2019","Date de l'expérience:","Utile","Partager","1"
"","https://fr.trustpilot.com/users/5c8e9d74bd7b744e6b7089f9","Lilou Hard Candy","30 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-2.svg","1 avr. 2019","https://fr.trustpilot.com/reviews/5ca13f12a843690a54034990","Blasée","Autant leur linge de bain et très bien autant je suis hyper déçue par leur linge de lit!Je me suis faite avoir par un promo : je commande des housses de couette et des taies d'oreillers en coton noir dont la qualité est déplorable! Le tissu est ultra fin et accroche toutes les petites poussière! Résultat : le lit fait sale : la classe! Évidemment, impossible de restituer le dit linge, vu que j'ai constaté cela à l'usage.Déçue, j'ai jeté 60€ par la fenêtre!","31 mars 2019","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/5c9f1a8d8ff3dfc6e14f3974","Mariska Jorel","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","30 mars 2019","https://fr.trustpilot.com/reviews/5c9f1bfaa843690a3015e440","Site à fuir","Site à fuir, vous font payer une écotax mais ne veulent pas vous reprendre votre ancien matériel, il faut être pugnace pour obtenir gain de cause et impossibilité d'avoir une facture pourtant obligatoire, cela fait des mois que je les contacte en vain ! DÉPLORABLE !!","30 mars 2019","Date de l'expérience:","Utile","Partager","1"
"NP","https://fr.trustpilot.com/users/4f8ae3ab000064000117a01c","Nathalie Pelaprat","3 avis","GP","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","30 mars 2019","https://fr.trustpilot.com/reviews/5c9e8b84a843690a54029c15","Aucun remboursement","Achat effectué début janvier d’un blouson Morgan, je ne l’ai jamais reçu . Nous sommes fin mars et toujours pas de remboursement . Le service client vous annonce le remboursement sous 5 jours et cela fait plus d’un Mois que j’attends.  C’est inadmissible,  je vais poster des avis négatif de partout. Site à éviter, pas sérieux.","29 mars 2019","Date de l'expérience:","Utile","Partager","1"
